excel_row,no_sap,vendor,reason,item_pekerjaan,level_1,level_2,level_3
58,2020003409,ADIPRANA DAYA TRAKTOR,No classification rule matched,Struktur Work,Material Supply,Structural Steel & Metal Products,"Profil baja,"
60,2020004080,ADITYA,No classification rule matched,Upah Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
64,2020003439,AGRINAS JALDRI NUSANTARA ( PER,No classification rule matched,"ADD VII Pengawas Inkis
ADD VI Pengawas Inkis
Add VIII Pengawas Inkis
ADD IV PMI Sibanceh
ADD IX PengawasInkis
PMI Add VII Sigli - Banda Aceh
Kontrak Pengawas Betjam Paket 2B
PMI Add VIII Sigli Banda Aceh",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
71,2020015810,AGUNG PRAMU AJI,No classification rule matched,Addendum Supervisi MLA,Engineering & Professional Services,Project & Construction Management Consultancy,"construction management,
supervision,"
95,2020013489,AHMAD KHOTIB SYARONI,No classification rule matched,"Ads Youtube TVC
Jasa Handling media",Corporate Support Services,"Marketing, Branding & Communication Services","media monitoring, content, dan"
97,2020012079,AHMAD RIZAL,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
98,2020012611,AHMAD ROFIQ,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
124,2020014635,ALFI FAHCRUL,No classification rule matched,"Upah Screed
Anti Rayap
Pekerjaan Anti Rayap",Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","pest control,"
130,2020012476,ALI MURTADHO,No classification rule matched,Pekerjaan onshore & offshore (tahap 1),Construction Services,Marine & Coastal Works,"Jetty,"
137,2020009759,ALKAJAYA SATRIA PERKASA,No classification rule matched,Steel Deck (JK),Material Supply,Structural Steel & Metal Products,produk metal lainnya.
152,2020011475,AMRIZAL,No classification rule matched,"Upah Persiapan
Pekerjan Borelog",Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
154,2020010533,ANAGATA DHIA KARYA MANDIRI,No classification rule matched,"Pek.Kons.Pendmpingan Hunian Vertikal IKN
Pemby.Termin 2 Kons.KPBU Hunian IKN",Engineering & Professional Services,"Financial, Commercial & Transaction Advisory","PPP, dan"
161,2020015754,ANDI AMILUDDIN SYAH,No classification rule matched,Pek. Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
166,2020015622,ANDIUS DASA PUTRA,No classification rule matched,Pek. Sondir Trial Embankment,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
170,2020015766,ANDROMEDA EKA PUTRI,No classification rule matched,Dermaga,Construction Services,Marine & Coastal Works,"dermaga,"
177,2020015820,ANGGA DWI YULIANTO,No classification rule matched,Pekerjaan Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
180,2010000085,ANGKASA PURA SUPPORTS,No classification rule matched,Pek. Relokasi_JK_LS,Construction Services,Specialist Construction Works,rehabilitation.
181,2020012297,ANIGOS JAYA PERKASA,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
184,2020004439,BAMBANG S,No classification rule matched,Pekerja,Corporate Support Services,Human Resources & Recruitment Services,"manpower outsourcing,"
185,2020013926,ANNISA KRISMARTNA WAHIDAH,No classification rule matched,Pek. General Cleaning_JK_M2,Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","Cleaning,  sanitasi, washroom service, dan pengelolaan kebersihan."
194,2020011523,ANUGERAH KRESNA UTAMA,No classification rule matched,Pekerjaan Kajian Social Security Assessm,Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy","social impact,"
218,2020003262,ARDIWAN,No classification rule matched,"Subkon Pek. Survey & setting out plant (
Subkon Pek. Surveying & setting out (JK)",Engineering & Professional Services,"Surveying, Mapping & Geospatial Services","Topografi,"
223,2020009576,ARGA NUSA PERSADA,No classification rule matched,Biaya Pelatihan MPP,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
226,2020012073,ARGHANIAGA PANCATUNGGAL,No classification rule matched,"Bio Solar
Solar industri
Bensin",Utilities and Energy,Fuel Supply,"Solar Industri,"
230,2020015752,ARI UTOYO,No classification rule matched,Pekerjaan Soil Test,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
258,2020008185,ARYOS BERKAT SUKSES,No classification rule matched,"D&B Ciloto Termin 1
D&B Ciloto Termin 2
D&B Ciloto Termin 3
Pemby Termijn V Design & Built di Ciloto",Engineering & Professional Services,Civil & Structural Engineering,"design review,"
303,2020009727,BAHANA TEHNIK RAYA,No classification rule matched,"Aditional soil investigasi (borlog)
Soil Investigation",Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
308,2020003270,BAKRIE METAL INDUSTRIES,No classification rule matched,"Galvanize Flex Beam Guardrail - Type A
Three Beam Connector (package)",Material Supply,Structural Steel & Metal Products,"Profil baja,"
316,2020015019,BAMBANG IRAWAN,No classification rule matched,Pasang silt protector woven PET,Construction Services,Marine & Coastal Works,proteksi pantai.
329,2020016058,BANNY APRIANSYAH,No classification rule matched,Subkon Uji Lingkungan,Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy",perizinan lingkungan.
334,2020011077,BARRUMI MEDIA CIPTA,No classification rule matched,"Iklan Pengumuman Lelang Lahan April 2024
iklan Pelelangan Umum Leger
Iklan Pelelangan Umum Ulang","Engineering & Professional Services
Corporate Support Services","Surveying, Mapping & Geospatial Services
Marketing, Branding & Communication Services","pemetaan drone.
Branding & advertising,"
383,2020012568,BINA AUDITA INDONESIA,No classification rule matched,Jasa Bimbingan Teknis QAR,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
406,2020010732,BIRUNI BIO ARSITEKTUR,No classification rule matched,Dekarbonisasi,Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy","carbon,"
419,2020004593,BUANA CAHAYATAMA,No classification rule matched,"Additional Service Engineer Pemrograman
Pek. Kalkulasi Nilai Parameter Relay Pro
Pengadaan Material Konsumabel
PT Buana Cahayatama, Pekerjaan Jasa
Jasa Training Supervisi","Engineering & Professional Services
Corporate Support Services","Project & Construction Management Consultancy
Training & Professional Development","construction management,
supervision,
Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
428,2020005333,HARI SISWANTO,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
430,2020014248,BUDIYANTO SETIAWAN,No classification rule matched,"Pek. General Cleaning_JK_M2
Deep Cleaning",Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","Cleaning,  sanitasi, washroom service, dan pengelolaan kebersihan."
431,2020003790,BUKAKA TEKNIK UTAMA,No classification rule matched,"Bearing Pad Elastomer Type 1
Bearing Pad Elastomer Type 3",Construction Services,Bridge & Elevated Structure Works,"bearing,"
461,2020009977,CAKRA BUANA TOTALMANDIRI KONSU,No classification rule matched,Detail Desain,Engineering & Professional Services,Civil & Structural Engineering,"design review,"
483,2020012564,CHALYSINDO CHATRA UTAMA,No classification rule matched,Pekerjaan Penyelidikan Tanah,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
490,2020010680,CIPTA ADHI POTENSIA,No classification rule matched,Executive Coaching Termin 1,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
493,2020012536,CIPTA DUA BERSAUDARA,No classification rule matched,Bearing Pad Elastomer,Construction Services,Bridge & Elevated Structure Works,"bearing,"
496,2020011989,CIPTA KREASI TALENTA,No classification rule matched,Inhouse Workshop ERM,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
499,2020004736,CIPTA STRADA,No classification rule matched,"ADD VI PMI Bangpang
Pengawas Paltung Struktur
Add II Pengawas Paltung Struktur
Add IV Pengawas Paltung Struktur",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
504,2020001228,CIRIAJASA CIPTA MANDIRI ENJINE,No classification rule matched,"Pengawas Rengpek Seksi Lingkar Pekanbaru
Pengawas Rengpek Seksi I Lingkar Pekanba
Add X Pengawas Pekbang",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
597,2020011508,DAMPAK SOSIAL INDONESIA,No classification rule matched,Workshop CID & CSR,Corporate Support Services,"Training & Professional Development
Corporate Social Responsibility Services","Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi.
Program komunitas, community engagement, pelaksanaan CSR, dan impact measurement."
615,2020012282,DASSINDO INTERNUSA SEMESTA,No classification rule matched,X Ray,Corporate Support Services,Medical & Occupational Health Services,"Klinik, medical check-up, occupational health, ambulance, dan tenaga medis."
621,2020009442,DAVIT INDRA KUSUMA NURPRIHATNA,No classification rule matched,Upah Harian Survey,Engineering & Professional Services,"Surveying, Mapping & Geospatial Services","Topografi,"
622,2020004817,DAYA DIMENSI PT,No classification rule matched,"Asesmen SKD BUMN
Asesmen BoD-2 1 Orang
Asesmen SKD BUMN & PQ 3 org
Asesmen BoD-1 1org",Corporate Support Services,Human Resources & Recruitment Services,"assessment,"
639,2020012697,DENI SETIAWAN,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
655,2020014154,DIDI KARDI,No classification rule matched,Bensin,Utilities and Energy,Fuel Supply,"Solar Industri,"
669,2020008769,DISIPLAN CONSULT,No classification rule matched,Add V PMI Indralaya - Prabumulih,Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
670,2020012933,DJITO,No classification rule matched,Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
677,2020011961,DONI RAMLAN EFFENDI,No classification rule matched,pek. Shotcrete,Construction Services,Specialist Construction Works,"strengthening,"
685,2020013180,DRS. MANIMBUL L A SITORUS,No classification rule matched,"Jasa Terjemahan Resmi
Jasa Penerjemah Tersumpah",Corporate Support Services,"Printing, Document & Records Services","Printing, scanning, archiving, shredding, document control, dan records storage."
686,2020015835,DRS. MARZUKI,No classification rule matched,Penyiapan lahan stockyard,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
688,2020014656,DUDUNG AS,No classification rule matched,Roller Blind Kantor Kemang Arsip,Corporate Support Services,"Printing, Document & Records Services","Printing, scanning, archiving, shredding, document control, dan records storage."
692,2020008095,DURITO,No classification rule matched,Pembersihan area kerja,Construction Services,Site Preparation & Demolition,Pembersihan lahan
747,2020010744,ESA SOLUSI MANDIRI,No classification rule matched,Pelatihan Kemnaker,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
750,2020005070,ESKAPINDO MATRA,No classification rule matched,"ADD III PMI INKIS
ADD VI Pengawas Ruas Bangpang
ADD VIII Pengawas Ruas Bangpang
ADD IX Pengawas Ruas Bangpang
ADD IV PMI INKIS",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
752,2020000512,ESTIKA JASATAMA,No classification rule matched,"Pby Estika Jasatama
Pby estika jasatama asuransi aset HK BRI
PBY ESTIKA JASATAMA ASET HK KBY BARU
PBY ESTIKA JASATAMA ASET KB BARU
Pby Estika Jasatama Aset Samarinda",Corporate Support Services,"Banking, Insurance & Risk Services","Perbankan, surety, asuransi, broker, risk survey, dan loss adjusting."
777,2020009954,FARHAN ZULFIKAR,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
801,2020011985,FIKA DARNITA,No classification rule matched,"Pembuatan Pin AKHLAK 200Pcs
Power Bank & Kaos AKHLAK
Kaos AKHLAK Change Mover 200",Corporate Support Services,"Marketing, Branding & Communication Services","Branding & advertising,"
802,2020010001,MUKAROBIN,No classification rule matched,"Biaya Perbaikan waterway
Pekerjaan AVR
Pekerjaan Flow Sensor
Biaya Penyambungan PLN (Perbaikan)",Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
812,2020013239,FOR KOMUNIKA KREASI,No classification rule matched,"Pekerjaan Booth Pameran ICE BSD
Booth Pameran ICE BSD",Corporate Support Services,"Marketing, Branding & Communication Services","Branding & advertising,"
818,2020010584,FRIBESKA CIPTA SEJAHTERA,No classification rule matched,Subkon Relokasi Tiang PLN Overpass Sta.,Utilities and Energy,Electricity Supply & Distribution,"Pasokan listrik, sambungan, distribusi, metering, dan layanan kelistrikan utilitas."
821,2020001045,MULYONO,No classification rule matched,Land Preparation,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
823,2020012017,GABRIELLA GEOVANA RAWUNG,No classification rule matched,Biaya Katering,Corporate Support Services,Catering & Food Services,"Katering kantor/proyek, canteen management, meal box, dan pantry operation."
